"IPR","gene","description"
"IPR000146","EfaB_PLUS_22450.g1834","Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase"
"IPR000146","EfaB_MINUS_40637.g2680","Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase"
"IPR000152","EfaB_PLUS_17195.g1492","EGF-type aspartate/asparagine hydroxylation site"
"IPR000152","EfaB_MINUS_31746.g2435","EGF-type aspartate/asparagine hydroxylation site"
"IPR000152","EfaB_MINUS_19717.g1708","EGF-type aspartate/asparagine hydroxylation site"
"IPR000152","EfaB_MINUS_38801.g2626","EGF-type aspartate/asparagine hydroxylation site"
"IPR000152","EfaB_MINUS_16835.g1497","EGF-type aspartate/asparagine hydroxylation site"
"IPR000152","EfaB_MINUS_31746.g2436","EGF-type aspartate/asparagine hydroxylation site"
"IPR000156","EfaB_PLUS_20412.g1726","Ran binding domain"
"IPR000163","EfaB_PLUS_21840.g1797","Prohibitin"
"IPR000163","EfaB_PLUS_4337.g427","Prohibitin"
"IPR000164","EfaB_PLUS_31151.g2281","Histone H3"
"IPR000167","EfaB_MINUS_8664.g828","Dehydrin"
"IPR000169","EfaB_PLUS_3469.g350","Cysteine peptidase, cysteine active site"
"IPR000169","EfaB_MINUS_15745.g1417","Cysteine peptidase, cysteine active site"
"IPR000169","EfaB_MINUS_7742.g791","Cysteine peptidase, cysteine active site"
"IPR000169","EfaB_PLUS_4849.g446","Cysteine peptidase, cysteine active site"
"IPR000169","EfaB_PLUS_16835.g1434","Cysteine peptidase, cysteine active site"
"IPR000172","EfaB_MINUS_11882.g1049","Glucose-methanol-choline oxidoreductase, N-terminal"
"IPR000172","EfaB_PLUS_43143.g2627","Glucose-methanol-choline oxidoreductase, N-terminal"
"IPR000175","EfaB_MINUS_50714.g2846","Sodium:neurotransmitter symporter"
"IPR000175","EfaB_PLUS_20412.g1728","Sodium:neurotransmitter symporter"
"IPR000175","EfaB_MINUS_30201.g2350","Sodium:neurotransmitter symporter"
"IPR000177","EfaB_PLUS_22284.g1821","Apple domain"
"IPR000177","EfaB_MINUS_43533.g2784","Apple domain"
"IPR000177","EfaB_PLUS_23143.g1929","Apple domain"
"IPR000177","EfaB_PLUS_20371.g1644","Apple domain"
"IPR000177","EfaB_MINUS_34010.g2532","Apple domain"
"IPR000182","EfaB_PLUS_43533.g2653","GNAT domain"
"IPR000182","EfaB_PLUS_7742.g787","GNAT domain"
"IPR000182","EfaB_PLUS_20371.g1658","GNAT domain"
"IPR000182","EfaB_PLUS_3973.g399","GNAT domain"
"IPR000182","EfaB_PLUS_11030.g936","GNAT domain"
"IPR000182","EfaB_PLUS_13227.g1140","GNAT domain"
"IPR000182","EfaB_MINUS_5788.g508","GNAT domain"
"IPR000182","EfaB_PLUS_5792.g555","GNAT domain"
"IPR000182","EfaB_MINUS_30201.g2347","GNAT domain"
"IPR000184","EfaB_MINUS_22450.g1920","Bacterial surface antigen (D15)"
"IPR000192","EfaB_PLUS_6743.g636","Aminotransferase, class V/Cysteine desulfurase"
"IPR000192","EfaB_MINUS_25458.g2203","Aminotransferase, class V/Cysteine desulfurase"
"IPR000192","EfaB_PLUS_6743.g602","Aminotransferase, class V/Cysteine desulfurase"
"IPR000192","EfaB_MINUS_22450.g1946","Aminotransferase, class V/Cysteine desulfurase"
"IPR000192","EfaB_PLUS_38801.g2541","Aminotransferase, class V/Cysteine desulfurase"
"IPR000192","EfaB_PLUS_6035.g573","Aminotransferase, class V/Cysteine desulfurase"
"IPR000192","EfaB_MINUS_1048.g122","Aminotransferase, class V/Cysteine desulfurase"
"IPR000194","EfaB_PLUS_26831.g2171","ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"
"IPR000194","EfaB_MINUS_34020.g2562","ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"
"IPR000194","EfaB_PLUS_12065.g1041","ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"
"IPR000194","EfaB_MINUS_32574.g2451","ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"
"IPR000195","EfaB_MINUS_1048.g133","Rab-GTPase-TBC domain"
"IPR000195","EfaB_PLUS_24701.g2022","Rab-GTPase-TBC domain"
"IPR000195","EfaB_PLUS_7742.g788","Rab-GTPase-TBC domain"
"IPR000195","EfaB_MINUS_18749.g1667","Rab-GTPase-TBC domain"
"IPR000195","EfaB_PLUS_15648.g1339","Rab-GTPase-TBC domain"
"IPR000195","EfaB_PLUS_14667.g1202","Rab-GTPase-TBC domain"
"IPR000195","EfaB_PLUS_52892.g2767","Rab-GTPase-TBC domain"
"IPR000195","EfaB_MINUS_20371.g1746","Rab-GTPase-TBC domain"
"IPR000195","EfaB_MINUS_14667.g1231","Rab-GTPase-TBC domain"
"IPR000195","EfaB_PLUS_2387.g299","Rab-GTPase-TBC domain"
"IPR000195","EfaB_PLUS_7742.g789","Rab-GTPase-TBC domain"
"IPR000195","EfaB_PLUS_2526.g317","Rab-GTPase-TBC domain"
"IPR000195","EfaB_MINUS_7742.g805","Rab-GTPase-TBC domain"
"IPR000195","EfaB_PLUS_33184.g2392","Rab-GTPase-TBC domain"
"IPR000196","EfaB_MINUS_13222.g1154","Ribosomal protein L19/L19e"
"IPR000198","EfaB_MINUS_17150.g1542","Rho GTPase-activating protein domain"
"IPR000206","EfaB_PLUS_17150.g1484","Ribosomal protein L7/L12"
"IPR000206","EfaB_PLUS_13222.g1112","Ribosomal protein L7/L12"
"IPR000209","EfaB_PLUS_39892.g2549","Peptidase S8/S53, subtilisin/kexin/sedolisin"
"IPR000209","EfaB_PLUS_11124.g944","Peptidase S8/S53, subtilisin/kexin/sedolisin"
"IPR000209","EfaB_MINUS_18749.g1668","Peptidase S8/S53, subtilisin/kexin/sedolisin"
"IPR000209","EfaB_PLUS_7048.g651","Peptidase S8/S53, subtilisin/kexin/sedolisin"
"IPR000209","EfaB_PLUS_25398.g2087","Peptidase S8/S53, subtilisin/kexin/sedolisin"
"IPR000209","EfaB_MINUS_20371.g1783","Peptidase S8/S53, subtilisin/kexin/sedolisin"
"IPR000209","EfaB_PLUS_13227.g1147","Peptidase S8/S53, subtilisin/kexin/sedolisin"
"IPR000209","EfaB_PLUS_800.g90","Peptidase S8/S53, subtilisin/kexin/sedolisin"
"IPR000209","EfaB_PLUS_39892.g2559","Peptidase S8/S53, subtilisin/kexin/sedolisin"
"IPR000209","EfaB_PLUS_800.g89","Peptidase S8/S53, subtilisin/kexin/sedolisin"
"IPR000210","EfaB_MINUS_1001.g109","BTB/POZ-like"
"IPR000210","EfaB_MINUS_15349.g1289","BTB/POZ-like"
"IPR000210","EfaB_PLUS_17150.g1486","BTB/POZ-like"
"IPR000210","EfaB_PLUS_22450.g1841","BTB/POZ-like"
"IPR000217","EfaB_MINUS_9917.g896","Tubulin"
"IPR000217","EfaB_MINUS_24117.g2080","Tubulin"
"IPR000217","EfaB_MINUS_22732.g1961","Tubulin"
"IPR000217","EfaB_PLUS_800.g68","Tubulin"
"IPR000217","EfaB_PLUS_3469.g348","Tubulin"
"IPR000217","EfaB_MINUS_22960.g1972","Tubulin"
"IPR000217","EfaB_PLUS_32658.g2380","Tubulin"
"IPR000218","EfaB_MINUS_12302.g1078","Ribosomal protein L14b/L23e"
"IPR000222","EfaB_MINUS_720.g55","Protein phosphatase 2C, manganese/magnesium aspartate binding site"
"IPR000222","EfaB_PLUS_1974.g224","Protein phosphatase 2C, manganese/magnesium aspartate binding site"
"IPR000222","EfaB_PLUS_720.g63","Protein phosphatase 2C, manganese/magnesium aspartate binding site"
"IPR000222","EfaB_PLUS_56725.g2809","Protein phosphatase 2C, manganese/magnesium aspartate binding site"
"IPR000222","EfaB_MINUS_7742.g741","Protein phosphatase 2C, manganese/magnesium aspartate binding site"
"IPR000222","EfaB_PLUS_34204.g2471","Protein phosphatase 2C, manganese/magnesium aspartate binding site"
"IPR000223","EfaB_PLUS_14978.g1245","Peptidase S26A, signal peptidase I"
"IPR000225","EfaB_MINUS_17907.g1645","Armadillo"
"IPR000225","EfaB_PLUS_32574.g2352","Armadillo"
"IPR000225","EfaB_PLUS_3469.g356","Armadillo"
"IPR000225","EfaB_MINUS_28105.g2313","Armadillo"
"IPR000225","EfaB_MINUS_6743.g612","Armadillo"
"IPR000235","EfaB_MINUS_7048.g668","Ribosomal protein S5/S7"
"IPR000238","EfaB_MINUS_3222.g325","Ribosome-binding factor A"
"IPR000238","EfaB_PLUS_38801.g2542","Ribosome-binding factor A"
"IPR000241","EfaB_PLUS_13222.g1098","Putative RNA methylase domain"
"IPR000241","EfaB_PLUS_34010.g2435","Putative RNA methylase domain"
"IPR000243","EfaB_MINUS_228.g16","Peptidase T1A, proteasome beta-subunit"
"IPR000245","EfaB_MINUS_5788.g508","ATPase, V0 complex, proteolipid subunit C"
"IPR000245","EfaB_MINUS_15697.g1397","ATPase, V0 complex, proteolipid subunit C"
"IPR000253","EfaB_MINUS_11124.g966","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_PLUS_37748.g2513","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_PLUS_20412.g1730","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_PLUS_43143.g2623","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_PLUS_21566.g1780","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_MINUS_34010.g2541","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_PLUS_14667.g1206","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_PLUS_36188.g2484","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_MINUS_22732.g1963","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_PLUS_22732.g1887","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_MINUS_56725.g2930","Forkhead-associated (FHA) domain"
"IPR000253","EfaB_MINUS_2387.g294","Forkhead-associated (FHA) domain"
"IPR000257","EfaB_PLUS_12302.g1055","Uroporphyrinogen decarboxylase (URO-D)"
"IPR000261","EfaB_MINUS_15648.g1381","EPS15 homology (EH)"
"IPR000261","EfaB_PLUS_22450.g1843","EPS15 homology (EH)"
"IPR000262","EfaB_MINUS_19717.g1713","FMN-dependent dehydrogenase"
"IPR000266","EfaB_PLUS_23143.g1915","Ribosomal protein S17"
"IPR000266","EfaB_PLUS_7742.g793","Ribosomal protein S17"
"IPR000268","EfaB_MINUS_23272.g2047","DNA-directed RNA polymerase, subunit N/Rpb10"
"IPR000269","EfaB_PLUS_3469.g355","Copper amine oxidase"
"IPR000277","EfaB_PLUS_19717.g1617","Cys/Met metabolism, pyridoxal phosphate-dependent enzyme"
"IPR000286","EfaB_PLUS_6253.g591","Histone deacetylase superfamily"
"IPR000286","EfaB_MINUS_2336.g254","Histone deacetylase superfamily"
"IPR000286","EfaB_MINUS_30201.g2345","Histone deacetylase superfamily"
"IPR000292","EfaB_MINUS_2387.g304","Formate/nitrite transporter"
"IPR000297","EfaB_PLUS_36188.g2484","Peptidyl-prolyl cis-trans isomerase, PpiC-type"
"IPR000300","EfaB_PLUS_22450.g1859","Inositol polyphosphate-related phosphatase"
"IPR000300","EfaB_PLUS_56725.g2806","Inositol polyphosphate-related phosphatase"
"IPR000304","EfaB_MINUS_53301.g2879","Pyrroline-5-carboxylate reductase"
"IPR000307","EfaB_MINUS_17096.g1525","Ribosomal protein S16"
"IPR000308","EfaB_PLUS_1711.g194","14-3-3 protein"
"IPR000308","EfaB_MINUS_36188.g2588","14-3-3 protein"
"IPR000308","EfaB_PLUS_16835.g1438","14-3-3 protein"
"IPR000310","EfaB_PLUS_2336.g268","Orn/Lys/Arg decarboxylase, major domain"
"IPR000313","EfaB_PLUS_52892.g2760","PWWP"
"IPR000315","EfaB_MINUS_3469.g365","Zinc finger, B-box"
"IPR000315","EfaB_PLUS_10843.g916","Zinc finger, B-box"
"IPR000315","EfaB_MINUS_25052.g2120","Zinc finger, B-box"
"IPR000315","EfaB_PLUS_1425.g180","Zinc finger, B-box"
"IPR000322","EfaB_PLUS_7048.g664","Glycoside hydrolase, family 31"
"IPR000326","EfaB_MINUS_22960.g1971","Phosphatidic acid phosphatase type 2/haloperoxidase"
"IPR000330","EfaB_PLUS_800.g73","SNF2-related"
"IPR000330","EfaB_PLUS_12420.g1065","SNF2-related"
"IPR000330","EfaB_PLUS_3469.g369","SNF2-related"
"IPR000330","EfaB_PLUS_11124.g947","SNF2-related"
"IPR000330","EfaB_PLUS_27383.g2193","SNF2-related"
"IPR000330","EfaB_MINUS_22450.g1938","SNF2-related"
"IPR000330","EfaB_PLUS_33184.g2394","SNF2-related"
"IPR000330","EfaB_PLUS_43533.g2669","SNF2-related"
"IPR000330","EfaB_MINUS_4849.g448","SNF2-related"
"IPR000330","EfaB_PLUS_20371.g1669","SNF2-related"
"IPR000330","EfaB_PLUS_7742.g771","SNF2-related"
"IPR000330","EfaB_PLUS_23143.g1923","SNF2-related"
"IPR000330","EfaB_MINUS_20371.g1753","SNF2-related"
"IPR000330","EfaB_PLUS_13385.g1167","SNF2-related"
"IPR000330","EfaB_PLUS_17452.g1518","SNF2-related"
"IPR000330","EfaB_PLUS_34010.g2446","SNF2-related"
"IPR000330","EfaB_PLUS_25458.g2112","SNF2-related"
"IPR000330","EfaB_PLUS_6743.g617","SNF2-related"
"IPR000330","EfaB_PLUS_17901.g1532","SNF2-related"
"IPR000340","EfaB_PLUS_4114.g417","Dual specificity phosphatase, catalytic domain"
"IPR000340","EfaB_MINUS_1903.g204","Dual specificity phosphatase, catalytic domain"
"IPR000340","EfaB_PLUS_13227.g1158","Dual specificity phosphatase, catalytic domain"
"IPR000340","EfaB_MINUS_56725.g2903","Dual specificity phosphatase, catalytic domain"
"IPR000340","EfaB_MINUS_15648.g1391","Dual specificity phosphatase, catalytic domain"
"IPR000340","EfaB_PLUS_6743.g613","Dual specificity phosphatase, catalytic domain"
"IPR000340","EfaB_MINUS_15349.g1301","Dual specificity phosphatase, catalytic domain"
"IPR000340","EfaB_PLUS_49504.g2716","Dual specificity phosphatase, catalytic domain"
"IPR000352","EfaB_PLUS_19222.g1609","Peptide chain release factor class I/class II"
"IPR000352","EfaB_MINUS_25458.g2187","Peptide chain release factor class I/class II"
"IPR000358","EfaB_MINUS_15648.g1354","Ribonucleotide reductase small subunit"
"IPR000361","EfaB_PLUS_228.g19","FeS cluster biogenesis"
"IPR000361","EfaB_PLUS_15648.g1331","FeS cluster biogenesis"
"IPR000362","EfaB_MINUS_17907.g1648","Fumarate lyase"
"IPR000374","EfaB_PLUS_1048.g115","Phosphatidate cytidylyltransferase"
"IPR000374","EfaB_MINUS_20412.g1801","Phosphatidate cytidylyltransferase"
"IPR000374","EfaB_PLUS_36188.g2485","Phosphatidate cytidylyltransferase"
"IPR000374","EfaB_MINUS_15349.g1291","Phosphatidate cytidylyltransferase"
"IPR000375","EfaB_PLUS_50714.g2738","Dynamin central domain"
"IPR000375","EfaB_PLUS_10331.g901","Dynamin central domain"
"IPR000380","EfaB_PLUS_228.g10","DNA topoisomerase, type IA"
"IPR000380","EfaB_PLUS_33184.g2389","DNA topoisomerase, type IA"
"IPR000383","EfaB_MINUS_17907.g1638","X-Pro dipeptidyl-peptidase-like domain"
"IPR000387","EfaB_PLUS_4114.g417","Protein-tyrosine/Dual-specificity phosphatase"
"IPR000387","EfaB_MINUS_56725.g2903","Protein-tyrosine/Dual-specificity phosphatase"
"IPR000387","EfaB_MINUS_15648.g1391","Protein-tyrosine/Dual-specificity phosphatase"
"IPR000387","EfaB_PLUS_13227.g1158","Protein-tyrosine/Dual-specificity phosphatase"
"IPR000387","EfaB_MINUS_1903.g204","Protein-tyrosine/Dual-specificity phosphatase"
"IPR000387","EfaB_PLUS_49504.g2716","Protein-tyrosine/Dual-specificity phosphatase"
"IPR000387","EfaB_PLUS_6743.g613","Protein-tyrosine/Dual-specificity phosphatase"
"IPR000387","EfaB_MINUS_15349.g1301","Protein-tyrosine/Dual-specificity phosphatase"
"IPR000398","EfaB_MINUS_17195.g1545","Thymidylate synthase"
"IPR000403","EfaB_PLUS_3973.g398","Phosphatidylinositol 3-/4-kinase, catalytic domain"
"IPR000403","EfaB_PLUS_49504.g2713","Phosphatidylinositol 3-/4-kinase, catalytic domain"
"IPR000403","EfaB_MINUS_15349.g1299","Phosphatidylinositol 3-/4-kinase, catalytic domain"
"IPR000403","EfaB_MINUS_17195.g1553","Phosphatidylinositol 3-/4-kinase, catalytic domain"
"IPR000403","EfaB_MINUS_20412.g1837","Phosphatidylinositol 3-/4-kinase, catalytic domain"
"IPR000403","EfaB_PLUS_19717.g1620","Phosphatidylinositol 3-/4-kinase, catalytic domain"
"IPR000403","EfaB_PLUS_16835.g1430","Phosphatidylinositol 3-/4-kinase, catalytic domain"
"IPR000403","EfaB_PLUS_2532.g320","Phosphatidylinositol 3-/4-kinase, catalytic domain"
"IPR000403","EfaB_PLUS_9917.g886","Phosphatidylinositol 3-/4-kinase, catalytic domain"
"IPR000407","EfaB_MINUS_5792.g541","Nucleoside phosphatase GDA1/CD39"
"IPR000407","EfaB_MINUS_34010.g2545","Nucleoside phosphatase GDA1/CD39"
"IPR000407","EfaB_PLUS_15745.g1376","Nucleoside phosphatase GDA1/CD39"
"IPR000408","EfaB_MINUS_15765.g1453","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_MINUS_43143.g2725","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_MINUS_5792.g549","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_PLUS_25458.g2111","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_PLUS_26415.g2148","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_PLUS_30201.g2263","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_MINUS_37942.g2614","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_PLUS_5086.g472","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_MINUS_16835.g1490","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_PLUS_3881.g397","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_MINUS_11124.g975","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_MINUS_53301.g2891","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_MINUS_20371.g1729","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_MINUS_1001.g110","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_MINUS_25177.g2136","Regulator of chromosome condensation, RCC1"
"IPR000408","EfaB_PLUS_28261.g2241","Regulator of chromosome condensation, RCC1"
"IPR000409","EfaB_MINUS_17400.g1580","BEACH domain"
"IPR000421","EfaB_PLUS_43533.g2661","Coagulation factor 5/8 C-terminal type domain"
"IPR000421","EfaB_MINUS_11233.g986","Coagulation factor 5/8 C-terminal type domain"
"IPR000421","EfaB_PLUS_7048.g679","Coagulation factor 5/8 C-terminal type domain"
"IPR000424","EfaB_PLUS_3881.g392","Primosome PriB/single-strand DNA-binding"
"IPR000425","EfaB_MINUS_1425.g188","Major intrinsic protein"
"IPR000426","EfaB_MINUS_34204.g2566","Proteasome, alpha-subunit, N-terminal domain"
"IPR000426","EfaB_MINUS_13227.g1182","Proteasome, alpha-subunit, N-terminal domain"
"IPR000426","EfaB_PLUS_4849.g452","Proteasome, alpha-subunit, N-terminal domain"
"IPR000426","EfaB_MINUS_25190.g2154","Proteasome, alpha-subunit, N-terminal domain"
"IPR000426","EfaB_MINUS_15349.g1300","Proteasome, alpha-subunit, N-terminal domain"
"IPR000432","EfaB_MINUS_17096.g1532","DNA mismatch repair protein MutS, C-terminal"
"IPR000432","EfaB_MINUS_34010.g2542","DNA mismatch repair protein MutS, C-terminal"
"IPR000432","EfaB_PLUS_5086.g471","DNA mismatch repair protein MutS, C-terminal"
"IPR000432","EfaB_MINUS_42996.g2721","DNA mismatch repair protein MutS, C-terminal"
"IPR000433","EfaB_PLUS_43533.g2644","Zinc finger, ZZ-type"
"IPR000433","EfaB_PLUS_11030.g938","Zinc finger, ZZ-type"
"IPR000433","EfaB_PLUS_5670.g489","Zinc finger, ZZ-type"
"IPR000436","EfaB_MINUS_12302.g1079","Sushi/SCR/CCP"
"IPR000436","EfaB_MINUS_4114.g412","Sushi/SCR/CCP"
"IPR000436","EfaB_PLUS_1425.g183","Sushi/SCR/CCP"
"IPR000436","EfaB_PLUS_20371.g1683","Sushi/SCR/CCP"
"IPR000439","EfaB_PLUS_720.g64","Ribosomal protein L15e"
"IPR000445","EfaB_MINUS_17702.g1587","Helix-hairpin-helix motif"
"IPR000447","EfaB_MINUS_31746.g2424","FAD-dependent glycerol-3-phosphate dehydrogenase"
"IPR000449","EfaB_MINUS_1001.g113","Ubiquitin-associated/translation elongation factor EF1B, N-terminal"
"IPR000449","EfaB_MINUS_24117.g2091","Ubiquitin-associated/translation elongation factor EF1B, N-terminal"
"IPR000449","EfaB_MINUS_1068.g163","Ubiquitin-associated/translation elongation factor EF1B, N-terminal"
"IPR000449","EfaB_PLUS_7048.g649","Ubiquitin-associated/translation elongation factor EF1B, N-terminal"
"IPR000449","EfaB_MINUS_3469.g356","Ubiquitin-associated/translation elongation factor EF1B, N-terminal"
"IPR000449","EfaB_MINUS_26136.g2223","Ubiquitin-associated/translation elongation factor EF1B, N-terminal"
"IPR000449","EfaB_PLUS_56725.g2838","Ubiquitin-associated/translation elongation factor EF1B, N-terminal"
"IPR000453","EfaB_MINUS_193.g2","Chorismate synthase"
"IPR000454","EfaB_MINUS_7048.g635","ATPase, F0 complex, subunit C"
"IPR000456","EfaB_PLUS_43533.g2666","Ribosomal protein L17"
"IPR000456","EfaB_MINUS_7048.g677","Ribosomal protein L17"
"IPR000462","EfaB_PLUS_56725.g2842","CDP-alcohol phosphatidyltransferase"
"IPR000462","EfaB_MINUS_25458.g2174","CDP-alcohol phosphatidyltransferase"
"IPR000462","EfaB_PLUS_6035.g572","CDP-alcohol phosphatidyltransferase"
"IPR000467","EfaB_MINUS_23210.g2013","G-patch domain"
"IPR000467","EfaB_MINUS_17096.g1522","G-patch domain"
"IPR000471","EfaB_MINUS_50054.g2838","Interferon alpha/beta/delta"
"IPR000489","EfaB_MINUS_26415.g2239","Pterin-binding"
"IPR000490","EfaB_PLUS_17096.g1464","Glycoside hydrolase, family 17"
"IPR000504","EfaB_PLUS_25177.g2058","RNA recognition motif domain"
"IPR000504","EfaB_MINUS_43533.g2768","RNA recognition motif domain"
"IPR000504","EfaB_PLUS_43143.g2623","RNA recognition motif domain"
"IPR000504","EfaB_MINUS_24117.g2082","RNA recognition motif domain"
"IPR000504","EfaB_MINUS_56725.g2953","RNA recognition motif domain"
"IPR000504","EfaB_MINUS_13398.g1197","RNA recognition motif domain"
"IPR000504","EfaB_PLUS_2336.g257","RNA recognition motif domain"
"IPR000504","EfaB_PLUS_24117.g1971","RNA recognition motif domain"
"IPR000504","EfaB_MINUS_43533.g2730","RNA recognition motif domain"
"IPR000504","EfaB_MINUS_22240.g1891","RNA recognition motif domain"
