[Gene ID]	[Transcript ID]	[Gene Name or Symbol]	[Previous ID(s)]	
TGME49_200470	TGME49_200470-t26_1	N/A	Previous IDs: 1933.t000004, 8.m00194, TGME49_000470, TgGLEAN_5668, TgGlmHMM_2609, TgTigrScan_4926, TgTigrScan_4927, TgTwinScan_2377, mrna.TGME49_000470A, tigr:cds.TGME49_000470A<br>	
TGME49_200480	TGME49_200480-t26_1	N/A	Previous IDs: 1933.t000003, TGME49_000480<br>	
TGME49_200590	TGME49_200590-t26_1	N/A	Previous IDs: 1941.t000002, TGME49_000590, TgGLEAN_5697, TgGlmHMM_2610, mrna.TGME49_000590A, tigr:cds.TGME49_000590A<br>	
TGME49_200595	TGME49_200595-t26_1	N/A	Previous IDs: 1941.t000003, TGME49_000595<br>	
TGME49_200600	TGME49_200600-t26_1	N/A	Previous IDs: 1941.t000004, TGME49_000600, TgGLEAN_5700, TgTwinScan_2380, mrna.TGME49_000600A, tigr:cds.TGME49_000600A<br>	
TGME49_200700	TGME49_200700-t26_1	N/A	Previous IDs: 1941.t000001, TGME49_000700, mrna.TGME49_000700A, tigr:cds.TGME49_000700A<br>	
TGME49_201100	TGME49_201100-t26_1	N/A	Previous IDs: 1895.t000513, 20.m05895, TGME49_001100, TgGLEAN_3711, TgGlmHMM_0632, TgTigrScan_0511, TgTwinScan_3601, mrna.TGME49_001100A, tigr:cds.TGME49_001100A<br>	
TGME49_201110	TGME49_201110-t26_1	N/A	Previous IDs: 1895.t000512, 20.m07355, TGME49_001110, TgGLEAN_3712, TgGlmHMM_0632, TgTigrScan_0512, TgTwinScan_3602, mrna.TGME49_001110A, tigr:cds.TGME49_001110A<br>	
TGME49_201120	TGME49_201120-t26_1	N/A	Previous IDs: 1895.t000511, 20.m03645, TGME49_001120, TgGLEAN_3709, TgGlmHMM_0633, TgTigrScan_0513, TgTigrScan_0514, TgTwinScan_3603, mrna.TGME49_001120A, tigr:cds.TGME49_001120A<br>	
TGME49_201130	TGME49_201130-t26_1	ROP33	Previous IDs: 1895.t000510, 20.m03646, TGME49_001130, TgGLEAN_3708, TgGlmHMM_0635, TgTigrScan_0515, TgTigrScan_0516, TgTwinScan_3604, mrna.TGME49_001130A, tigr:cds.TGME49_001130A<br>	
TGME49_201140	TGME49_201140-t26_1	N/A	Previous IDs: 1895.t000509, 20.m03646, TGME49_001140, TgGLEAN_3707, TgGlmHMM_0635, TgTigrScan_0516, TgTwinScan_3605, mrna.TGME49_001140A, tigr:cds.TGME49_001140A<br>	
TGME49_201150	TGME49_201150-t26_1	N/A	Previous IDs: 1895.t000508, 20.m03647, TGME49_001150, TgGLEAN_3706, TgGLEAN_3707, TgGlmHMM_0635, TgTigrScan_0516, TgTigrScan_0517, TgTwinScan_3606, mrna.TGME49_001150A, tigr:cds.TGME49_001150A<br>	
TGME49_201160	TGME49_201160-t26_1	N/A	Previous IDs: 1895.t000577, 20.m03984, TGME49_001160, TgGLEAN_3713, TgGlmHMM_0636, TgTigrScan_0518, mrna.TGME49_001160A, tigr:cds.TGME49_001160A<br>	
TGME49_201170	TGME49_201170-t26_1	N/A	Previous IDs: 1895.t000507, 20.m03648, TGME49_001170, TgGLEAN_3713, TgGlmHMM_0636, TgTigrScan_0518, TgTwinScan_3607, mrna.TGME49_001170A, tigr:cds.TGME49_001170A<br>	
TGME49_201180	TGME49_201180-t26_1	N/A	Previous IDs: 1895.t000506, 20.m03985, TGME49_001180, TgGLEAN_3714, TgGlmHMM_0636, TgTigrScan_0518, TgTwinScan_3608, mrna.TGME49_001180A, tigr:cds.TGME49_001180A<br>	
TGME49_201190	TGME49_201190-t26_1	N/A	Previous IDs: 1895.t000576, 20.m05877, TGME49_001190, TgTigrScan_0519, mrna.TGME49_001190A, tigr:cds.TGME49_001190A<br>	
TGME49_201200	TGME49_201200-t26_1	N/A	Previous IDs: 1895.t000505, 20.m03649, TGME49_001200, TgGLEAN_3705, TgGlmHMM_0637, TgTigrScan_0519, TgTwinScan_3609, mrna.TGME49_001200A, tigr:cds.TGME49_001200A<br>	
TGME49_201210	TGME49_201210-t26_1	N/A	Previous IDs: 1895.t000504, 20.m03650, TGME49_001210, TgGLEAN_3715, TgGlmHMM_0638, TgTigrScan_0520, TgTwinScan_3610, mrna.TGME49_001210A, tigr:cds.TGME49_001210A<br>	
TGME49_201215	TGME49_201215-t26_1	N/A	Previous IDs: 1895.t000503, TGME49_001215<br>	
TGME49_201220	TGME49_201220-t26_1	N/A	Previous IDs: 1895.t000502, 20.m03651, TGME49_001220, TgGLEAN_3716, TgGlmHMM_0639, TgTigrScan_0520, TgTwinScan_3611, mrna.TGME49_001220A, tigr:cds.TGME49_001220A<br>	
TGME49_201230	TGME49_201230-t26_1	N/A	Previous IDs: 1895.t000501, 20.m05878, TGME49_001230, TgGLEAN_3704, TgGlmHMM_0640, TgTigrScan_0521, TgTwinScan_3612, mrna.TGME49_001230A, tigr:cds.TGME49_001230A<br>	
TGME49_201240	TGME49_201240-t26_1	N/A	Previous IDs: 1895.t000500, 20.m03654, TGME49_001240, TgGLEAN_3718, TgGlmHMM_0641, TgTigrScan_0524, TgTwinScan_3613, mrna.TGME49_001240A, tigr:cds.TGME49_001240A<br>	
TGME49_201250	TGME49_201250-t26_1	N/A	Previous IDs: 1895.t000499, 20.m03655, TGME49_001250, TgGLEAN_3703, TgGlmHMM_0642, TgTigrScan_0525, TgTwinScan_3614, mrna.TGME49_001250A, tigr:cds.TGME49_001250A<br>	
TGME49_201260	TGME49_201260-t26_1	ST3	Previous IDs: 1895.t000498, 20.m00327, TGME49_001260, TgGLEAN_3719, TgGlmHMM_0643, TgTigrScan_0526, TgTwinScan_3615, mrna.TGME49_001260A, tigr:cds.TGME49_001260A<br>	
TGME49_201270	TGME49_201270-t26_1	N/A	Previous IDs: 1895.t000497, 20.m00328, TGME49_001270, TgGLEAN_3721, TgGLEAN_3722, TgGLEAN_3723, TgGlmHMM_0643, TgTigrScan_0528, TgTigrScan_0529, TgTigrScan_0530, TgTwinScan_3616, mrna.TGME49_001270A, tigr:cds.TGME49_001270A<br>	
TGME49_201380	TGME49_201380-t26_1	N/A	Previous IDs: 1895.t000496, 20.m00001, TGME49_001380, TgGLEAN_3702, TgGlmHMM_0644, TgTigrScan_0531, TgTwinScan_3617, mrna.TGME49_001380A, tigr:cds.TGME49_001380A<br>	
TGME49_201390	TGME49_201390-t26_1	N/A	Previous IDs: 1895.t000495, 20.m03659, TGME49_001390, TgGLEAN_3724, TgTigrScan_7777, mrna.TGME49_001390A, tigr:cds.TGME49_001390A<br>	
TGME49_201400	TGME49_201400-t26_1	SAP18	Previous IDs: 1895.t000493, 20.m03660, TGME49_001400, TgGLEAN_3725, TgGlmHMM_0645, TgTigrScan_7779, TgTwinScan_3618, mrna.TGME49_001400A, tigr:cds.TGME49_001400A<br>	
TGME49_201520	TGME49_201520-t26_1	N/A	Previous IDs: 1895.t000491, 20.m00355, TGME49_001520, TgGLEAN_3699, TgGlmHMM_0646, TgTigrScan_7783, TgTigrScan_7785, TgTwinScan_3620, mrna.TGME49_001520A, tigr:cds.TGME49_001520A<br>	
TGME49_201630	TGME49_201630-t26_1	N/A	Previous IDs: 1895.t000582, 20.m05879, TGME49_001630, TgGlmHMM_0646, TgTigrScan_7785, mrna.TGME49_001630A, tigr:cds.TGME49_001630A<br>	
TGME49_201640	TGME49_201640-t26_1	N/A	Previous IDs: 1895.t000490, 20.m03663, TGME49_001640, TgGLEAN_3728, TgGlmHMM_0647, TgTigrScan_7786, TgTwinScan_3621, mrna.TGME49_001640A, tigr:cds.TGME49_001640A<br>	
TGME49_201650	TGME49_201650-t26_1	N/A	Previous IDs: 1895.t000489, 20.m03663, TGME49_001650, TgGLEAN_3729, TgGlmHMM_0647, TgTigrScan_7787, TgTwinScan_3622, mrna.TGME49_001650A, tigr:cds.TGME49_001650A<br>	
TGME49_201660	TGME49_201660-t26_1	N/A	Previous IDs: 1895.t000488, 20.m03664, TGME49_001660, TgGLEAN_3730, TgGlmHMM_0648, TgTigrScan_7788, TgTwinScan_3624, mrna.TGME49_001660A, tigr:cds.TGME49_001660A<br>	
TGME49_201670	TGME49_201670-t26_1	N/A	Previous IDs: 1895.t000487, 20.m03665, TGME49_001670, TgGLEAN_3698, TgGlmHMM_0649, TgTigrScan_7789, TgTwinScan_3625, mrna.TGME49_001670A, tigr:cds.TGME49_001670A<br>	
TGME49_201680	TGME49_201680-t26_1	N/A	Previous IDs: 1895.t000486, 20.m03667, TGME49_001680, TgGLEAN_3697, TgGlmHMM_0649, TgTigrScan_7790, TgTwinScan_3626, mrna.TGME49_001680A, tigr:cds.TGME49_001680A<br>	
TGME49_201690	TGME49_201690-t26_1	N/A	Previous IDs: 1895.t000485, 20.m03988, TGME49_001690, TgGLEAN_3731, TgGlmHMM_0650, TgTigrScan_7791, TgTwinScan_3627, mrna.TGME49_001690A, tigr:cds.TGME49_001690A<br>	
TGME49_201700	TGME49_201700-t26_1	N/A	Previous IDs: 1895.t000484, 20.m03668, TGME49_001700, TgGLEAN_3732, TgGlmHMM_0650, TgTigrScan_7792, TgTwinScan_3628, mrna.TGME49_001700A, tigr:cds.TGME49_001700A<br>	
TGME49_201710	TGME49_201710-t26_1	N/A	Previous IDs: 1895.t000483, 20.m03669, TGME49_001710, TgGLEAN_3696, TgGlmHMM_0651, TgTigrScan_7793, TgTwinScan_3629, mrna.TGME49_001710A, tigr:cds.TGME49_001710A<br>	
TGME49_201720	TGME49_201720-t26_1	N/A	Previous IDs: 1895.t000482, 20.m03670, TGME49_001720, TgGLEAN_3733, TgGlmHMM_0652, TgTwinScan_3630, mrna.TGME49_001720A, tigr:cds.TGME49_001720A<br>	
TGME49_201730	TGME49_201730-t26_1	N/A	Previous IDs: 1895.t000586, 20.m07354, TGME49_001730, TgGlmHMM_0653, TgTigrScan_7793, mrna.TGME49_001730A, tigr:cds.TGME49_001730A<br>	
TGME49_201740	TGME49_201740-t26_1	N/A	Previous IDs: 1895.t000481, 20.m03671, TGME49_001740, TgGLEAN_3695, TgGlmHMM_0653, TgTigrScan_7793, TgTwinScan_3631, mrna.TGME49_001740A, tigr:cds.TGME49_001740A<br>	
TGME49_201750	TGME49_201750-t26_1	N/A	Previous IDs: 1895.t000480, 20.m03672, TGME49_001750, TgGLEAN_3694, TgGlmHMM_0653, TgTigrScan_7793, TgTwinScan_3632, mrna.TGME49_001750A, tigr:cds.TGME49_001750A<br>	
TGME49_201760	TGME49_201760-t26_1	N/A	Previous IDs: 1895.t000479, 20.m03673, TGME49_001760, TgGLEAN_3693, TgGlmHMM_0653, TgTigrScan_7794, TgTigrScan_7795, TgTwinScan_3633, mrna.TGME49_001760A, tigr:cds.TGME49_001760A<br>	
TGME49_201770	TGME49_201770-t26_1	N/A	Previous IDs: 1895.t000478, 20.m00354, 20.m05881, TGME49_001770, TgGLEAN_3692, TgGlmHMM_0653, TgTigrScan_7795, TgTwinScan_3634, TgTwinScan_3635, mrna.TGME49_001770A, tigr:cds.TGME49_001770A<br>	
TGME49_201775	TGME49_201775-t26_1	N/A	Previous IDs: 1895.t000477, TGME49_001775<br>	
TGME49_201780	TGME49_201780-t26_1	MIC2	Previous IDs: 1895.t000476, 20.m00002, TGME49_001780, TgGLEAN_3734, TgGlmHMM_0654, TgTigrScan_7796, TgTwinScan_3636, mrna.TGME49_001780A, tigr:cds.TGME49_001780A<br>	
TGME49_201785	TGME49_201785-t26_1	N/A	Previous IDs: 1895.t000475, TGME49_001785<br>	
TGME49_201790	TGME49_201790-t26_1	N/A	Previous IDs: 1895.t000474, 20.m03676, TGME49_001790, TgGLEAN_3735, TgGlmHMM_0654, TgTigrScan_3158, TgTwinScan_3637, mrna.TGME49_001790A, tigr:cds.TGME49_001790A<br>	
TGME49_201800	TGME49_201800-t26_1	N/A	Previous IDs: 1895.t000473, 20.m05985, TGME49_001800, TgGLEAN_3691, TgGlmHMM_0655, TgTigrScan_3159, TgTwinScan_3638, mrna.TGME49_001800A, tigr:cds.TGME49_001800A<br>	
TGME49_201810	TGME49_201810-t26_1	N/A	Previous IDs: 1895.t000472, TGME49_001810, TgGLEAN_3736, TgGlmHMM_0656, TgTigrScan_3160, TgTwinScan_3639, mrna.TGME49_001810A, tigr:cds.TGME49_001810A<br>	
TGME49_201820	TGME49_201820-t26_1	N/A	Previous IDs: 1895.t000471, 20.m03678, TGME49_001820, TgGLEAN_3689, TgGLEAN_3690, TgGlmHMM_0657, TgTigrScan_3161, TgTigrScan_3162, TgTwinScan_3640, mrna.TGME49_001820A, tigr:cds.TGME49_001820A<br>	
TGME49_201830	TGME49_201830-t26_1	N/A	Previous IDs: 1895.t000470, 20.m03679, TGME49_001830, TgGLEAN_3688, TgGlmHMM_0658, TgTigrScan_3164, TgTwinScan_3641, mrna.TGME49_001830A, tigr:cds.TGME49_001830A<br>	
TGME49_201840	TGME49_201840-t26_1	ASP1	Previous IDs: 1895.t000469, 20.m03680, TGME49_001840, TgGLEAN_3687, TgGlmHMM_0659, TgTigrScan_3164, TgTwinScan_3642, mrna.TGME49_001840A, tigr:cds.TGME49_001840A<br>	
TGME49_201850	TGME49_201850-t26_1	N/A	Previous IDs: 1895.t000468, 20.m03681, TGME49_001850, TgGlmHMM_0660, TgTigrScan_3165, mrna.TGME49_001850A, tigr:cds.TGME49_001850A<br>	
TGME49_201860	TGME49_201860-t26_1	N/A	Previous IDs: 1895.t000467, 20.m03682, TGME49_001860, TgGLEAN_3738, TgGlmHMM_0660, TgTigrScan_3166, TgTwinScan_3643, mrna.TGME49_001860A, tigr:cds.TGME49_001860A<br>	
TGME49_201870	TGME49_201870-t26_1	N/A	Previous IDs: 1895.t000466, 20.m03683, TGME49_001870, TgGLEAN_3686, TgGlmHMM_0661, TgTigrScan_3167, TgTwinScan_3644, mrna.TGME49_001870A, tigr:cds.TGME49_001870A<br>	
TGME49_201880	TGME49_201880-t26_1	N/A	Previous IDs: 1895.t000465, 20.m03684, TGME49_001880, TgGLEAN_3685, TgGlmHMM_0662, TgTigrScan_3168, TgTwinScan_3645, mrna.TGME49_001880A, tigr:cds.TGME49_001880A<br>	
TGME49_201890	TGME49_201890-t26_1	N/A	Previous IDs: 1895.t000464, 20.m03685, TGME49_001890, TgGLEAN_3684, TgGlmHMM_0662, TgTigrScan_3169, TgTwinScan_3646, mrna.TGME49_001890A, tigr:cds.TGME49_001890A<br>	
TGME49_201895	TGME49_201895-t26_1	N/A	Previous IDs: 1895.t000463, TGME49_001895<br>	
TGME49_201900	TGME49_201900-t26_1	N/A	Previous IDs: 1895.t000462, 20.m03990, TGME49_001900, TgGLEAN_3739, TgGlmHMM_0663, TgTigrScan_3171, TgTwinScan_3647, mrna.TGME49_001900A, tigr:cds.TGME49_001900A<br>	
TGME49_202010	TGME49_202010-t26_1	N/A	Previous IDs: 1895.t000461, 20.m05883, TGME49_002010, TgGLEAN_3683, TgGlmHMM_0664, TgTigrScan_3173, TgTwinScan_3648, mrna.TGME49_002010A, tigr:cds.TGME49_002010A<br>	
TGME49_202020	TGME49_202020-t26_1	N/A	Previous IDs: 1895.t000460, 20.m00351, TGME49_002020, TgGLEAN_3682, TgGlmHMM_0664, TgTigrScan_3174, TgTwinScan_3649, mrna.TGME49_002020A, tigr:cds.TGME49_002020A<br>	
TGME49_202025	TGME49_202025-t26_1	N/A	Previous IDs: 1895.t000459, TGME49_002025<br>	
TGME49_202030	TGME49_202030-t26_1	N/A	Previous IDs: 1895.t000458, 20.m03687, TGME49_002030, TgGLEAN_3741, TgGlmHMM_0665, TgTigrScan_3177, mrna.TGME49_002030A, tigr:cds.TGME49_002030A<br>	
TGME49_202040	TGME49_202040-t26_1	N/A	Previous IDs: 1895.t000457, 20.m03689, TGME49_002040, TgGLEAN_3680, TgGlmHMM_0666, TgTigrScan_3178, TgTigrScan_3179, TgTwinScan_3652, mrna.TGME49_002040A, tigr:cds.TGME49_002040A<br>	
TGME49_202050	TGME49_202050-t26_1	N/A	Previous IDs: 1895.t000456, 20.m03690, TGME49_002050, TgGLEAN_3742, TgGlmHMM_0667, TgTigrScan_3180, TgTwinScan_3653, mrna.TGME49_002050A, tigr:cds.TGME49_002050A<br>	
TGME49_202060	TGME49_202060-t26_1	N/A	Previous IDs: 1895.t000455, 20.m03691, TGME49_002060, TgGLEAN_3743, TgGlmHMM_0668, TgTigrScan_3182, TgTigrScan_3183, TgTwinScan_3654, mrna.TGME49_002060A, tigr:cds.TGME49_002060A<br>	
TGME49_202065	TGME49_202065-t26_1	N/A	Previous IDs: 1895.t000454, TGME49_002065<br>	
TGME49_202070	TGME49_202070-t26_1	N/A	Previous IDs: 1895.t000453, 20.m03692, TGME49_002070, TgGLEAN_3744, TgGlmHMM_0668, TgTigrScan_3184, TgTwinScan_3654, mrna.TGME49_002070A, tigr:cds.TGME49_002070A<br>	
TGME49_202080	TGME49_202080-t26_1	N/A	Previous IDs: 1895.t000452, 20.m05882, TGME49_002080, TgGLEAN_3678, TgGlmHMM_0669, TgTigrScan_3185, TgTwinScan_3655, mrna.TGME49_002080A, tigr:cds.TGME49_002080A<br>	
TGME49_202090	TGME49_202090-t26_1	N/A	Previous IDs: 1895.t000451, 20.m03693, TGME49_002090, TgGLEAN_3746, TgGlmHMM_0670, TgTigrScan_3186, TgTwinScan_3656, mrna.TGME49_002090A, tigr:cds.TGME49_002090A<br>	
TGME49_202100	TGME49_202100-t26_1	N/A	Previous IDs: 1895.t000450, 20.m03694, TGME49_002100, TgGLEAN_3747, TgGlmHMM_0671, TgTigrScan_3187, TgTwinScan_3657, mrna.TGME49_002100A, tigr:cds.TGME49_002100A<br>	
TGME49_202110	TGME49_202110-t26_1	N/A	Previous IDs: 1895.t000449, 20.m03695, TGME49_002110, TgGLEAN_3748, TgGlmHMM_0671, TgTigrScan_3188, TgTwinScan_3658, mrna.TGME49_002110A, tigr:cds.TGME49_002110A<br>	
TGME49_202120	TGME49_202120-t26_1	N/A	Previous IDs: 1895.t000448, 20.m03696, TGME49_002120, TgGLEAN_3750, TgGlmHMM_0672, TgTigrScan_3190, TgTwinScan_3659, mrna.TGME49_002120A, tigr:cds.TGME49_002120A<br>	
TGME49_202140	TGME49_202140-t26_1	N/A	Previous IDs: 1895.t000447, 20.m03697, TGME49_002140, TgGLEAN_3752, TgGlmHMM_0672, TgTigrScan_3191, TgTwinScan_3662, mrna.TGME49_002140A, tigr:cds.TGME49_002140A<br>	
TGME49_202160	TGME49_202160-t26_1	N/A	Previous IDs: 1895.t000446, 20.m07353, TGME49_002160, TgTigrScan_3192, mrna.TGME49_002160A, tigr:cds.TGME49_002160A<br>	
TGME49_202170	TGME49_202170-t26_1	N/A	Previous IDs: 1895.t000445, 20.m05876, TGME49_002170, TgGLEAN_3753, TgGlmHMM_0674, TgTigrScan_3193, TgTwinScan_3664, mrna.TGME49_002170A, tigr:cds.TGME49_002170A<br>	
TGME49_202180	TGME49_202180-t26_1	N/A	Previous IDs: 1895.t000444, 20.m03699, TGME49_002180, TgGLEAN_3676, TgGlmHMM_0675, TgTigrScan_3194, TgTwinScan_3665, TgTwinScan_3666, mrna.TGME49_002180A, tigr:cds.TGME49_002180A<br>	
TGME49_202190	TGME49_202190-t26_1	N/A	Previous IDs: 1895.t000443, 20.m03700, TGME49_002190, TgGLEAN_3754, TgGlmHMM_0676, TgTigrScan_3195, TgTwinScan_3667, mrna.TGME49_002190A, tigr:cds.TGME49_002190A<br>	
TGME49_202200	TGME49_202200-t26_1	N/A	Previous IDs: 1895.t000442, 20.m00331, TGME49_002200, TgGLEAN_3755, TgGlmHMM_0678, TgTigrScan_3196, TgTwinScan_3669, mrna.TGME49_002200A, tigr:cds.TGME49_002200A<br>	
TGME49_202205	TGME49_202205-t26_1	N/A	Previous IDs: 1895.t000592, TGME49_002205<br>	
TGME49_202210	TGME49_202210-t26_1	N/A	Previous IDs: 1895.t000441, 20.m03702, TGME49_002210, TgGlmHMM_0678, mrna.TGME49_002210A, tigr:cds.TGME49_002210A<br>	
TGME49_202220	TGME49_202220-t26_1	N/A	Previous IDs: 1895.t000440, 20.m03702, TGME49_002220, TgGLEAN_3756, TgGlmHMM_0678, TgTigrScan_3197, TgTwinScan_3672, mrna.TGME49_002220A, tigr:cds.TGME49_002220A<br>	
TGME49_202230	TGME49_202230-t26_1	HDAC5	Previous IDs: 1895.t000439, 20.m03703, TGME49_002230, TgGLEAN_3675, TgGlmHMM_0679, TgTigrScan_3198, TgTwinScan_3673, mrna.TGME49_002230A, tigr:cds.TGME49_002230A<br>	
TGME49_202240	TGME49_202240-t26_1	N/A	Previous IDs: 1895.t000438, 20.m03704, TGME49_002240, TgGLEAN_3757, TgGlmHMM_0680, TgTigrScan_3199, TgTwinScan_3674, mrna.TGME49_002240A, tigr:cds.TGME49_002240A<br>	
