Mouse Gene Identifier,Mouse Gene Product Description,Plasmodium Gene Indentifier,Plasmodium Gene Product Description,Interaction Type
ENSMUSG00000008604,ubiquilin 4 [Source:MGI Symbol;Acc:MGI:2150152],PBANKA_011170,"apicoplast ribosomal protein L18 precursor, putative",CSS
ENSMUSG00000019710,mitochondrial ribosomal protein L24 [Source:MGI Symbol;Acc:MGI:1914957],PBANKA_011170,"apicoplast ribosomal protein L18 precursor, putative",CSS
ENSMUSG00000023939,mitochondrial ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1333864],PBANKA_011170,"apicoplast ribosomal protein L18 precursor, putative",CSS
ENSMUSG00000028958,transmembrane and ubiquitin-like domain containing 1 [Source:MGI Symbol;Acc:MGI:1923764],PBANKA_011170,"apicoplast ribosomal protein L18 precursor, putative",CSS
ENSMUSG00000031770,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:MGI Symbol;Acc:MGI:1927406]",PBANKA_011170,"apicoplast ribosomal protein L18 precursor, putative",CSS
ENSMUSG00000034757,transmembrane and ubiquitin-like domain containing 2 [Source:MGI Symbol;Acc:MGI:1919303],PBANKA_011170,"apicoplast ribosomal protein L18 precursor, putative",CSS
ENSMUSG00000005980,deoxyribonuclease I [Source:MGI Symbol;Acc:MGI:103157],PBANKA_030170,"5'-3' exonuclease, putative",CSS
ENSMUSG00000019088,deoxyribonuclease 1-like 1 [Source:MGI Symbol;Acc:MGI:109628],PBANKA_030170,"5'-3' exonuclease, putative",CSS
ENSMUSG00000019822,"sphingomyelin phosphodiesterase 2, neutral [Source:MGI Symbol;Acc:MGI:1278330]",PBANKA_030170,"5'-3' exonuclease, putative",CSS
ENSMUSG00000025279,deoxyribonuclease 1-like 3 [Source:MGI Symbol;Acc:MGI:1314633],PBANKA_030170,"5'-3' exonuclease, putative",CSS
ENSMUSG00000025477,inositol polyphosphate-5-phosphatase A [Source:MGI Symbol;Acc:MGI:2686961],PBANKA_030170,"5'-3' exonuclease, putative",CSS
ENSMUSG00000031906,"sphingomyelin phosphodiesterase 3, neutral [Source:MGI Symbol;Acc:MGI:1927578]",PBANKA_030170,"5'-3' exonuclease, putative",CSS
ENSMUSG00000020198,"adaptor-related protein complex 3, delta 1 subunit [Source:MGI Symbol;Acc:MGI:107734]",PBANKA_031400,"clathrin coat assembly protein, putative",CSS
ENSMUSG00000040701,"adaptor protein complex AP-1, gamma 2 subunit [Source:MGI Symbol;Acc:MGI:1328307]",PBANKA_031400,"clathrin coat assembly protein, putative",CSS
ENSMUSG00000051235,"Gen homolog 1, endonuclease (Drosophila) [Source:MGI Symbol;Acc:MGI:2443149]",PBANKA_041540,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000014355,anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000019428,FK506 binding protein 8 [Source:MGI Symbol;Acc:MGI:1341070],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000019916,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:97463]",PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000022136,"DnaJ (Hsp40) homolog, subfamily C, member 3 [Source:MGI Symbol;Acc:MGI:107373]",PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000022752,translocase of outer mitochondrial membrane 70 homolog A (yeast) [Source:MGI Symbol;Acc:MGI:106295],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000026229,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]",PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000027194,tetratricopeptide repeat domain 17 [Source:MGI Symbol;Acc:MGI:1921819],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000027677,tetratricopeptide repeat domain 14 [Source:MGI Symbol;Acc:MGI:1914370],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000028555,tetratricopeptide repeat domain 39A [Source:MGI Symbol;Acc:MGI:2444350],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000030306,transmembrane and tetratricopeptide repeat containing 1 [Source:MGI Symbol;Acc:MGI:3039590],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000036019,transmembrane and tetratricopeptide repeat containing 2 [Source:MGI Symbol;Acc:MGI:1914057],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000036676,transmembrane and tetratricopeptide repeat containing 3 [Source:MGI Symbol;Acc:MGI:3036255],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000037300,tetratricopeptide repeat domain 13 [Source:MGI Symbol;Acc:MGI:2384573],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000037369,4lysine (K)-specific demethylase 6A [Source:MGI Symbol;Acc:MGI:1095419],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000038168,leprecan-like 1 [Source:MGI Symbol;Acc:MGI:2146663],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000040785,tetratricopeptide repeat domain 3 [Source:MGI Symbol;Acc:MGI:1276539],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000041594,transmembrane and tetratricopeptide repeat containing 4 [Source:MGI Symbol;Acc:MGI:1921050],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000051048,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III [Source:MGI Symbol;Acc:MGI:2444049]",PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000053334,FIC domain containing [Source:MGI Symbol;Acc:MGI:1098550],PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000053580,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:MGI Symbol;Acc:MGI:2444121]",PBANKA_071420,"ClpB protein, putative",CSS
ENSMUSG00000001750,"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3 [Source:MGI Symbol;Acc:MGI:1350931]",PBANKA_080350,"ATP synthase subunit C, putative",CSS
ENSMUSG00000019302,"ATPase, H+ transporting, lysosomal V0 subunit A1 [Source:MGI Symbol;Acc:MGI:103286]",PBANKA_080350,"ATP synthase subunit C, putative",CSS
ENSMUSG00000038023,"ATPase, H+ transporting, lysosomal V0 subunit A2 [Source:MGI Symbol;Acc:MGI:104855]",PBANKA_080350,"ATP synthase subunit C, putative",CSS
ENSMUSG00000038600,"ATPase, H+ transporting, lysosomal V0 subunit A4 [Source:MGI Symbol;Acc:MGI:2153480]",PBANKA_080350,"ATP synthase subunit C, putative",CSS
ENSMUSG00000051235,"Gen homolog 1, endonuclease (Drosophila) [Source:MGI Symbol;Acc:MGI:2443149]",PBANKA_080610,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000001674,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 [Source:MGI Symbol;Acc:MGI:1914192],PBANKA_081280,"GTP-binding protein, putative",CSS
ENSMUSG00000005045,chromodomain helicase DNA binding protein 5 [Source:MGI Symbol;Acc:MGI:3036258],PBANKA_081280,"GTP-binding protein, putative",CSS
ENSMUSG00000020752,RecQ protein-like 5 [Source:MGI Symbol;Acc:MGI:2156841],PBANKA_081280,"GTP-binding protein, putative",CSS
ENSMUSG00000021494,DEAD (Asp-Glu-Ala-Asp) box polypeptide 41 [Source:MGI Symbol;Acc:MGI:1920185],PBANKA_081280,"GTP-binding protein, putative",CSS
ENSMUSG00000033762,RecQ protein-like 4 [Source:MGI Symbol;Acc:MGI:1931028],PBANKA_081280,"GTP-binding protein, putative",CSS
ENSMUSG00000042426,DEAH (Asp-Glu-Ala-His) box polypeptide 29 [Source:MGI Symbol;Acc:MGI:2145374],PBANKA_081280,"GTP-binding protein, putative",CSS
ENSMUSG00000055884,"Fanconi anemia, complementation group M [Source:MGI Symbol;Acc:MGI:2442306]",PBANKA_081280,"GTP-binding protein, putative",CSS
ENSMUSG00000013662,"ATPase family, AAA domain containing 1 [Source:MGI Symbol;Acc:MGI:1915229]",PBANKA_082250,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000014355,anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097],PBANKA_082250,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000024068,spastin [Source:MGI Symbol;Acc:MGI:1858896],PBANKA_082250,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000024527,AFG3(ATPase family gene 3)-like 2 (yeast) [Source:MGI Symbol;Acc:MGI:1916847],PBANKA_082250,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000026229,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]",PBANKA_082250,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000026775,YME1-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1351651],PBANKA_082250,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000031967,AFG3(ATPase family gene 3)-like 1 (yeast) [Source:MGI Symbol;Acc:MGI:1928277],PBANKA_082250,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000039067,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 [Source:MGI Symbol;Acc:MGI:1351511]",PBANKA_082250,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000014355,anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000019428,FK506 binding protein 8 [Source:MGI Symbol;Acc:MGI:1341070],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000019916,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:97463]",PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000022136,"DnaJ (Hsp40) homolog, subfamily C, member 3 [Source:MGI Symbol;Acc:MGI:107373]",PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000022752,translocase of outer mitochondrial membrane 70 homolog A (yeast) [Source:MGI Symbol;Acc:MGI:106295],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000026229,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]",PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000027194,tetratricopeptide repeat domain 17 [Source:MGI Symbol;Acc:MGI:1921819],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000027677,tetratricopeptide repeat domain 14 [Source:MGI Symbol;Acc:MGI:1914370],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000028555,tetratricopeptide repeat domain 39A [Source:MGI Symbol;Acc:MGI:2444350],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000030306,transmembrane and tetratricopeptide repeat containing 1 [Source:MGI Symbol;Acc:MGI:3039590],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000036019,transmembrane and tetratricopeptide repeat containing 2 [Source:MGI Symbol;Acc:MGI:1914057],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000036676,transmembrane and tetratricopeptide repeat containing 3 [Source:MGI Symbol;Acc:MGI:3036255],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000037300,tetratricopeptide repeat domain 13 [Source:MGI Symbol;Acc:MGI:2384573],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000037369,4lysine (K)-specific demethylase 6A [Source:MGI Symbol;Acc:MGI:1095419],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000038168,leprecan-like 1 [Source:MGI Symbol;Acc:MGI:2146663],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000040785,tetratricopeptide repeat domain 3 [Source:MGI Symbol;Acc:MGI:1276539],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000041594,transmembrane and tetratricopeptide repeat containing 4 [Source:MGI Symbol;Acc:MGI:1921050],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000051048,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III [Source:MGI Symbol;Acc:MGI:2444049]",PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000053334,FIC domain containing [Source:MGI Symbol;Acc:MGI:1098550],PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000053580,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:MGI Symbol;Acc:MGI:2444121]",PBANKA_092850,"peptidase, putative",CSS
ENSMUSG00000014355,anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000019428,FK506 binding protein 8 [Source:MGI Symbol;Acc:MGI:1341070],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000019916,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:97463]",PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000022136,"DnaJ (Hsp40) homolog, subfamily C, member 3 [Source:MGI Symbol;Acc:MGI:107373]",PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000022752,translocase of outer mitochondrial membrane 70 homolog A (yeast) [Source:MGI Symbol;Acc:MGI:106295],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000026229,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]",PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000027194,tetratricopeptide repeat domain 17 [Source:MGI Symbol;Acc:MGI:1921819],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000027677,tetratricopeptide repeat domain 14 [Source:MGI Symbol;Acc:MGI:1914370],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000028555,tetratricopeptide repeat domain 39A [Source:MGI Symbol;Acc:MGI:2444350],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000030306,transmembrane and tetratricopeptide repeat containing 1 [Source:MGI Symbol;Acc:MGI:3039590],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000036019,transmembrane and tetratricopeptide repeat containing 2 [Source:MGI Symbol;Acc:MGI:1914057],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000036676,transmembrane and tetratricopeptide repeat containing 3 [Source:MGI Symbol;Acc:MGI:3036255],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000037300,tetratricopeptide repeat domain 13 [Source:MGI Symbol;Acc:MGI:2384573],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000037369,4lysine (K)-specific demethylase 6A [Source:MGI Symbol;Acc:MGI:1095419],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000038168,leprecan-like 1 [Source:MGI Symbol;Acc:MGI:2146663],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000040785,tetratricopeptide repeat domain 3 [Source:MGI Symbol;Acc:MGI:1276539],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000041594,transmembrane and tetratricopeptide repeat containing 4 [Source:MGI Symbol;Acc:MGI:1921050],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000051048,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III [Source:MGI Symbol;Acc:MGI:2444049]",PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000053334,FIC domain containing [Source:MGI Symbol;Acc:MGI:1098550],PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000053580,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:MGI Symbol;Acc:MGI:2444121]",PBANKA_093120,"heat shock protein 101, putative",CSS
ENSMUSG00000045948,mitochondrial ribosomal protein S12 [Source:MGI Symbol;Acc:MGI:1346333],PBANKA_094080,"apicoplast ribosomal protein S15 precursor, putative",CSS
ENSMUSG00000062365,predicted gene 4968 [Source:MGI Symbol;Acc:MGI:3647516],PBANKA_094080,"apicoplast ribosomal protein S15 precursor, putative",CSS
ENSMUSG00000067351,predicted gene 5623 [Source:MGI Symbol;Acc:MGI:3643316],PBANKA_094080,"apicoplast ribosomal protein S15 precursor, putative",CSS
ENSMUSG00000029208,GUF1 GTPase homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2140726],PBANKA_101910,"DNA-directed DNA polymerase, putative",CSS
ENSMUSG00000042535,GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:109443],PBANKA_101910,"DNA-directed DNA polymerase, putative",CSS
ENSMUSG00000014355,anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000019428,FK506 binding protein 8 [Source:MGI Symbol;Acc:MGI:1341070],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000019916,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:97463]",PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000022136,"DnaJ (Hsp40) homolog, subfamily C, member 3 [Source:MGI Symbol;Acc:MGI:107373]",PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000022752,translocase of outer mitochondrial membrane 70 homolog A (yeast) [Source:MGI Symbol;Acc:MGI:106295],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000026229,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]",PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000027194,tetratricopeptide repeat domain 17 [Source:MGI Symbol;Acc:MGI:1921819],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000027677,tetratricopeptide repeat domain 14 [Source:MGI Symbol;Acc:MGI:1914370],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000028555,tetratricopeptide repeat domain 39A [Source:MGI Symbol;Acc:MGI:2444350],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000030306,transmembrane and tetratricopeptide repeat containing 1 [Source:MGI Symbol;Acc:MGI:3039590],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000036019,transmembrane and tetratricopeptide repeat containing 2 [Source:MGI Symbol;Acc:MGI:1914057],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000036676,transmembrane and tetratricopeptide repeat containing 3 [Source:MGI Symbol;Acc:MGI:3036255],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000037300,tetratricopeptide repeat domain 13 [Source:MGI Symbol;Acc:MGI:2384573],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000037369,4lysine (K)-specific demethylase 6A [Source:MGI Symbol;Acc:MGI:1095419],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000038168,leprecan-like 1 [Source:MGI Symbol;Acc:MGI:2146663],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000040785,tetratricopeptide repeat domain 3 [Source:MGI Symbol;Acc:MGI:1276539],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000041594,transmembrane and tetratricopeptide repeat containing 4 [Source:MGI Symbol;Acc:MGI:1921050],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000051048,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III [Source:MGI Symbol;Acc:MGI:2444049]",PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000053334,FIC domain containing [Source:MGI Symbol;Acc:MGI:1098550],PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000053580,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:MGI Symbol;Acc:MGI:2444121]",PBANKA_103560,"ATP-dependent Clp protease, putative",CSS
ENSMUSG00000029208,GUF1 GTPase homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2140726],PBANKA_110380,"ATP-dependent helicase, putative",CSS
ENSMUSG00000042535,GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:109443],PBANKA_110380,"ATP-dependent helicase, putative",CSS
ENSMUSG00000018672,"coatomer protein complex, subunit zeta 2 [Source:MGI Symbol;Acc:MGI:1929008]",PBANKA_111660,"alpha adaptin-like protein, putative, fragment",CSS
ENSMUSG00000001750,"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3 [Source:MGI Symbol;Acc:MGI:1350931]",PBANKA_113100,"V-type ATPase, putative",CSS
ENSMUSG00000019302,"ATPase, H+ transporting, lysosomal V0 subunit A1 [Source:MGI Symbol;Acc:MGI:103286]",PBANKA_113100,"V-type ATPase, putative",CSS
ENSMUSG00000038023,"ATPase, H+ transporting, lysosomal V0 subunit A2 [Source:MGI Symbol;Acc:MGI:104855]",PBANKA_113100,"V-type ATPase, putative",CSS
ENSMUSG00000038600,"ATPase, H+ transporting, lysosomal V0 subunit A4 [Source:MGI Symbol;Acc:MGI:2153480]",PBANKA_113100,"V-type ATPase, putative",CSS
ENSMUSG00000018672,"coatomer protein complex, subunit zeta 2 [Source:MGI Symbol;Acc:MGI:1929008]",PBANKA_122260,"conserved Plasmodium protein, unknown function",CSS
ENSMUSG00000006057,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c1 (subunit 9) [Source:MGI Symbol;Acc:MGI:107653]",PBANKA_122380,"vacuolar proton-translocating ATPase subunit A, putative",CSS
ENSMUSG00000018770,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9) [Source:MGI Symbol;Acc:MGI:2442035]",PBANKA_122380,"vacuolar proton-translocating ATPase subunit A, putative",CSS
ENSMUSG00000024121,"ATPase, H+ transporting, lysosomal V0 subunit C [Source:MGI Symbol;Acc:MGI:88116]",PBANKA_122380,"vacuolar proton-translocating ATPase subunit A, putative",CSS
ENSMUSG00000033379,"ATPase, H+ transporting, lysosomal V0 subunit B [Source:MGI Symbol;Acc:MGI:1890510]",PBANKA_122380,"vacuolar proton-translocating ATPase subunit A, putative",CSS
ENSMUSG00000062683,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9) [Source:MGI Symbol;Acc:MGI:1915192]",PBANKA_122380,"vacuolar proton-translocating ATPase subunit A, putative",CSS
