[Gene ID]	[Fold Change]	[Chosen Comp (log2)]	[Chosen Ref (log2)]	[Previous ID(s)]	
TGME49_200330	1.2	3.67	3.42	1933.t000017, 8.m00184, TGME49_000330, TgGLEAN_5649, TgGLEAN_5650, TgGlmHMM_2600, TgTigrScan_4909, TgTwinScan_2367, mrna.TGME49_000330A, tigr:cds.TGME49_000330A	
TGME49_200340	-3.1	2.93	4.57	1933.t000016, 8.m00375, TGME49_000340, mrna.TGME49_000340A, tigr:cds.TGME49_000340A	
TGME49_200350	-3.7	3.14	5.04	1933.t000015, 8.m00185, TGME49_000350, TgGLEAN_5663, TgGlmHMM_2601, TgTigrScan_4910, TgTwinScan_2368, mrna.TGME49_000350A, tigr:cds.TGME49_000350A	
TGME49_200360	-1.1	0.92	1.07	1933.t000014, 8.m00004, TGME49_000360, TgGLEAN_5664, TgGlmHMM_2602, TgTigrScan_4912, mrna.TGME49_000360A, tigr:cds.TGME49_000360A	
TGME49_200370	-1.2	4.6	4.91	1933.t000013, 8.m00187, TGME49_000370, TgGLEAN_5648, TgGlmHMM_2603, TgTigrScan_4913, TgTwinScan_2369, mrna.TGME49_000370A, tigr:cds.TGME49_000370A	
TGME49_200375	-3.7	1.62	3.5	1933.t000012, TGME49_000375	
TGME49_200385	-1.4	0.34	0.85	1933.t000011, 8.m00188, 8.m00189, TGME49_000380, TGME49_000390, TgGLEAN_5644, TgGLEAN_5645, TgGLEAN_5646, TgGLEAN_5647, TgGlmHMM_2604, TgTigrScan_4914, TgTigrScan_4915, TgTigrScan_4916, TgTwinScan_2370, mrna.TGME49_000380A, mrna.TGME49_000390A, tigr:cds.TGME49_000380A, tigr:cds.TGME49_000390A	
TGME49_200400	-1.2	4.2	4.45	1933.t000010, 8.m00190, TGME49_000400, TgGLEAN_5643, TgGlmHMM_2605, TgTigrScan_4918, TgTwinScan_2371, mrna.TGME49_000400A, tigr:cds.TGME49_000400A	
TGME49_200410	-1.6	2.24	2.91	1933.t000009, 8.m00280, TGME49_000410, TgGLEAN_5642, TgGlmHMM_2605, TgTigrScan_4919, TgTwinScan_2372, mrna.TGME49_000410A, tigr:cds.TGME49_000410A	
TGME49_200430	-1.3	3.43	3.79	1933.t000008, 8.m00191, TGME49_000430, TgGLEAN_5640, TgGlmHMM_2605, TgTigrScan_4920, TgTwinScan_2374, mrna.TGME49_000430A, tigr:cds.TGME49_000430A	
TGME49_200440	-1.5	2.42	3.04	1933.t000007, 8.m00192, TGME49_000440, TgGLEAN_5666, TgGlmHMM_2607, TgTigrScan_4921, TgTwinScan_2375, mrna.TGME49_000440A, tigr:cds.TGME49_000440A	
TGME49_200450	-1.3	3.32	3.69	1933.t000006, 8.m00374, TGME49_000450, TgGLEAN_5638, TgGlmHMM_2608, TgTigrScan_4922, mrna.TGME49_000450A, tigr:cds.TGME49_000450A	
TGME49_200460	-1.1	2.32	2.51	1933.t000005, 8.m00193, 8.m00279, TGME49_000460, TgGLEAN_5636, TgGLEAN_5637, TgGlmHMM_2608, TgTigrScan_4923, TgTigrScan_4924, TgTigrScan_4925, TgTwinScan_2376, mrna.TGME49_000460A, tigr:cds.TGME49_000460A	
TGME49_200470	-1.3	3.81	4.14	1933.t000004, 8.m00194, TGME49_000470, TgGLEAN_5668, TgGlmHMM_2609, TgTigrScan_4926, TgTigrScan_4927, TgTwinScan_2377, mrna.TGME49_000470A, tigr:cds.TGME49_000470A	
TGME49_200480	-1.3	5.8	6.15	1933.t000003, TGME49_000480	
TGME49_200590	1.1	5.08	4.89	1941.t000002, TGME49_000590, TgGLEAN_5697, TgGlmHMM_2610, mrna.TGME49_000590A, tigr:cds.TGME49_000590A	
TGME49_200595	-1.6	0.45	1.14	1941.t000003, TGME49_000595	
TGME49_200600	1.2	1.33	1.06	1941.t000004, TGME49_000600, TgGLEAN_5700, TgTwinScan_2380, mrna.TGME49_000600A, tigr:cds.TGME49_000600A	
TGME49_200700	-1.3	0.73	1.16	1941.t000001, TGME49_000700, mrna.TGME49_000700A, tigr:cds.TGME49_000700A	
TGME49_201100	-3.3	4.55	6.26	1895.t000513, 20.m05895, TGME49_001100, TgGLEAN_3711, TgGlmHMM_0632, TgTigrScan_0511, TgTwinScan_3601, mrna.TGME49_001100A, tigr:cds.TGME49_001100A	
TGME49_201110	-1.1	4.21	4.32	1895.t000512, 20.m07355, TGME49_001110, TgGLEAN_3712, TgGlmHMM_0632, TgTigrScan_0512, TgTwinScan_3602, mrna.TGME49_001110A, tigr:cds.TGME49_001110A	
TGME49_201120	-1.5	2.57	3.17	1895.t000511, 20.m03645, TGME49_001120, TgGLEAN_3709, TgGlmHMM_0633, TgTigrScan_0513, TgTigrScan_0514, TgTwinScan_3603, mrna.TGME49_001120A, tigr:cds.TGME49_001120A	
TGME49_201130	-1.2	4.26	4.57	1895.t000510, 20.m03646, TGME49_001130, TgGLEAN_3708, TgGlmHMM_0635, TgTigrScan_0515, TgTigrScan_0516, TgTwinScan_3604, mrna.TGME49_001130A, tigr:cds.TGME49_001130A	
TGME49_201140	-1.4	3.67	4.11	1895.t000509, 20.m03646, TGME49_001140, TgGLEAN_3707, TgGlmHMM_0635, TgTigrScan_0516, TgTwinScan_3605, mrna.TGME49_001140A, tigr:cds.TGME49_001140A	
TGME49_201150	-1.4	2.42	2.91	1895.t000508, 20.m03647, TGME49_001150, TgGLEAN_3706, TgGLEAN_3707, TgGlmHMM_0635, TgTigrScan_0516, TgTigrScan_0517, TgTwinScan_3606, mrna.TGME49_001150A, tigr:cds.TGME49_001150A	
TGME49_201160	-2.1	1.47	2.51	1895.t000577, 20.m03984, TGME49_001160, TgGLEAN_3713, TgGlmHMM_0636, TgTigrScan_0518, mrna.TGME49_001160A, tigr:cds.TGME49_001160A	
TGME49_201170	1	6.89	6.86	1895.t000507, 20.m03648, TGME49_001170, TgGLEAN_3713, TgGlmHMM_0636, TgTigrScan_0518, TgTwinScan_3607, mrna.TGME49_001170A, tigr:cds.TGME49_001170A	
TGME49_201180	-1.3	6.97	7.39	1895.t000506, 20.m03985, TGME49_001180, TgGLEAN_3714, TgGlmHMM_0636, TgTigrScan_0518, TgTwinScan_3608, mrna.TGME49_001180A, tigr:cds.TGME49_001180A	
TGME49_201190	-1.5	3.04	3.65	1895.t000576, 20.m05877, TGME49_001190, TgTigrScan_0519, mrna.TGME49_001190A, tigr:cds.TGME49_001190A	
TGME49_201200	-1.8	3.39	4.22	1895.t000505, 20.m03649, TGME49_001200, TgGLEAN_3705, TgGlmHMM_0637, TgTigrScan_0519, TgTwinScan_3609, mrna.TGME49_001200A, tigr:cds.TGME49_001200A	
TGME49_201210	-1.2	2.64	2.93	1895.t000504, 20.m03650, TGME49_001210, TgGLEAN_3715, TgGlmHMM_0638, TgTigrScan_0520, TgTwinScan_3610, mrna.TGME49_001210A, tigr:cds.TGME49_001210A	
TGME49_201215	-1.6	2.16	2.87	1895.t000503, TGME49_001215	
TGME49_201220	-1.4	2.7	3.16	1895.t000502, 20.m03651, TGME49_001220, TgGLEAN_3716, TgGlmHMM_0639, TgTigrScan_0520, TgTwinScan_3611, mrna.TGME49_001220A, tigr:cds.TGME49_001220A	
TGME49_201230	-1.2	2.65	2.88	1895.t000501, 20.m05878, TGME49_001230, TgGLEAN_3704, TgGlmHMM_0640, TgTigrScan_0521, TgTwinScan_3612, mrna.TGME49_001230A, tigr:cds.TGME49_001230A	
TGME49_201240	-4	2.55	4.56	1895.t000500, 20.m03654, TGME49_001240, TgGLEAN_3718, TgGlmHMM_0641, TgTigrScan_0524, TgTwinScan_3613, mrna.TGME49_001240A, tigr:cds.TGME49_001240A	
TGME49_201250	-1.4	4.1	4.64	1895.t000499, 20.m03655, TGME49_001250, TgGLEAN_3703, TgGlmHMM_0642, TgTigrScan_0525, TgTwinScan_3614, mrna.TGME49_001250A, tigr:cds.TGME49_001250A	
TGME49_201260	-2.1	0.85	1.9	1895.t000498, 20.m00327, TGME49_001260, TgGLEAN_3719, TgGlmHMM_0643, TgTigrScan_0526, TgTwinScan_3615, mrna.TGME49_001260A, tigr:cds.TGME49_001260A	
TGME49_201270	-1.1	4.13	4.25	1895.t000497, 20.m00328, TGME49_001270, TgGLEAN_3721, TgGLEAN_3722, TgGLEAN_3723, TgGlmHMM_0643, TgTigrScan_0528, TgTigrScan_0529, TgTigrScan_0530, TgTwinScan_3616, mrna.TGME49_001270A, tigr:cds.TGME49_001270A	
TGME49_201380	-1.2	4.58	4.88	1895.t000496, 20.m00001, TGME49_001380, TgGLEAN_3702, TgGlmHMM_0644, TgTigrScan_0531, TgTwinScan_3617, mrna.TGME49_001380A, tigr:cds.TGME49_001380A	
TGME49_201390	-1.3	5.91	6.31	1895.t000495, 20.m03659, TGME49_001390, TgGLEAN_3724, TgTigrScan_7777, mrna.TGME49_001390A, tigr:cds.TGME49_001390A	
TGME49_201400	-1.5	4.64	5.24	1895.t000493, 20.m03660, TGME49_001400, TgGLEAN_3725, TgGlmHMM_0645, TgTigrScan_7779, TgTwinScan_3618, mrna.TGME49_001400A, tigr:cds.TGME49_001400A	
TGME49_201520	-1.3	1.3	1.72	1895.t000491, 20.m00355, TGME49_001520, TgGLEAN_3699, TgGlmHMM_0646, TgTigrScan_7783, TgTigrScan_7785, TgTwinScan_3620, mrna.TGME49_001520A, tigr:cds.TGME49_001520A	
TGME49_201630	1.4	5.92	5.44	1895.t000582, 20.m05879, TGME49_001630, TgGlmHMM_0646, TgTigrScan_7785, mrna.TGME49_001630A, tigr:cds.TGME49_001630A	
TGME49_201640	-2.8	3.62	5.09	1895.t000490, 20.m03663, TGME49_001640, TgGLEAN_3728, TgGlmHMM_0647, TgTigrScan_7786, TgTwinScan_3621, mrna.TGME49_001640A, tigr:cds.TGME49_001640A	
TGME49_201650	-2.5	3.67	5.02	1895.t000489, 20.m03663, TGME49_001650, TgGLEAN_3729, TgGlmHMM_0647, TgTigrScan_7787, TgTwinScan_3622, mrna.TGME49_001650A, tigr:cds.TGME49_001650A	
TGME49_201660	-2.6	1.62	2.98	1895.t000488, 20.m03664, TGME49_001660, TgGLEAN_3730, TgGlmHMM_0648, TgTigrScan_7788, TgTwinScan_3624, mrna.TGME49_001660A, tigr:cds.TGME49_001660A	
TGME49_201670	-1.2	3.12	3.4	1895.t000487, 20.m03665, TGME49_001670, TgGLEAN_3698, TgGlmHMM_0649, TgTigrScan_7789, TgTwinScan_3625, mrna.TGME49_001670A, tigr:cds.TGME49_001670A	
TGME49_201680	-1.3	6.29	6.62	1895.t000486, 20.m03667, TGME49_001680, TgGLEAN_3697, TgGlmHMM_0649, TgTigrScan_7790, TgTwinScan_3626, mrna.TGME49_001680A, tigr:cds.TGME49_001680A	
TGME49_201690	-1.3	0.08	0.46	1895.t000485, 20.m03988, TGME49_001690, TgGLEAN_3731, TgGlmHMM_0650, TgTigrScan_7791, TgTwinScan_3627, mrna.TGME49_001690A, tigr:cds.TGME49_001690A	
TGME49_201700	-1.6	4.65	5.29	1895.t000484, 20.m03668, TGME49_001700, TgGLEAN_3732, TgGlmHMM_0650, TgTigrScan_7792, TgTwinScan_3628, mrna.TGME49_001700A, tigr:cds.TGME49_001700A	
TGME49_201710	-1.3	3.68	4.06	1895.t000483, 20.m03669, TGME49_001710, TgGLEAN_3696, TgGlmHMM_0651, TgTigrScan_7793, TgTwinScan_3629, mrna.TGME49_001710A, tigr:cds.TGME49_001710A	
TGME49_201720	-1.2	3.96	4.23	1895.t000482, 20.m03670, TGME49_001720, TgGLEAN_3733, TgGlmHMM_0652, TgTwinScan_3630, mrna.TGME49_001720A, tigr:cds.TGME49_001720A	
TGME49_201730	-1.3	1.05	1.4	1895.t000586, 20.m07354, TGME49_001730, TgGlmHMM_0653, TgTigrScan_7793, mrna.TGME49_001730A, tigr:cds.TGME49_001730A	
TGME49_201740	-1.4	2.64	3.16	1895.t000481, 20.m03671, TGME49_001740, TgGLEAN_3695, TgGlmHMM_0653, TgTigrScan_7793, TgTwinScan_3631, mrna.TGME49_001740A, tigr:cds.TGME49_001740A	
TGME49_201750	-1.7	3.52	4.29	1895.t000480, 20.m03672, TGME49_001750, TgGLEAN_3694, TgGlmHMM_0653, TgTigrScan_7793, TgTwinScan_3632, mrna.TGME49_001750A, tigr:cds.TGME49_001750A	
TGME49_201760	1.4	4.64	4.18	1895.t000479, 20.m03673, TGME49_001760, TgGLEAN_3693, TgGlmHMM_0653, TgTigrScan_7794, TgTigrScan_7795, TgTwinScan_3633, mrna.TGME49_001760A, tigr:cds.TGME49_001760A	
TGME49_201770	-1.7	3.17	3.94	1895.t000478, 20.m00354, 20.m05881, TGME49_001770, TgGLEAN_3692, TgGlmHMM_0653, TgTigrScan_7795, TgTwinScan_3634, TgTwinScan_3635, mrna.TGME49_001770A, tigr:cds.TGME49_001770A	
TGME49_201775	1	0	0	1895.t000477, TGME49_001775	
TGME49_201780	2	1.18	0.2	1895.t000476, 20.m00002, TGME49_001780, TgGLEAN_3734, TgGlmHMM_0654, TgTigrScan_7796, TgTwinScan_3636, mrna.TGME49_001780A, tigr:cds.TGME49_001780A	
TGME49_201785	1.1	0.24	0.06	1895.t000475, TGME49_001785	
TGME49_201790	-1.2	4.24	4.52	1895.t000474, 20.m03676, TGME49_001790, TgGLEAN_3735, TgGlmHMM_0654, TgTigrScan_3158, TgTwinScan_3637, mrna.TGME49_001790A, tigr:cds.TGME49_001790A	
TGME49_201800	-1.3	6.02	6.41	1895.t000473, 20.m05985, TGME49_001800, TgGLEAN_3691, TgGlmHMM_0655, TgTigrScan_3159, TgTwinScan_3638, mrna.TGME49_001800A, tigr:cds.TGME49_001800A	
TGME49_201810	-1.8	2.77	3.61	1895.t000472, TGME49_001810, TgGLEAN_3736, TgGlmHMM_0656, TgTigrScan_3160, TgTwinScan_3639, mrna.TGME49_001810A, tigr:cds.TGME49_001810A	
TGME49_201820	-1.5	2.68	3.23	1895.t000471, 20.m03678, TGME49_001820, TgGLEAN_3689, TgGLEAN_3690, TgGlmHMM_0657, TgTigrScan_3161, TgTigrScan_3162, TgTwinScan_3640, mrna.TGME49_001820A, tigr:cds.TGME49_001820A	
TGME49_201830	-1.5	3.53	4.07	1895.t000470, 20.m03679, TGME49_001830, TgGLEAN_3688, TgGlmHMM_0658, TgTigrScan_3164, TgTwinScan_3641, mrna.TGME49_001830A, tigr:cds.TGME49_001830A	
TGME49_201840	-7.5	2.48	5.38	1895.t000469, 20.m03680, TGME49_001840, TgGLEAN_3687, TgGlmHMM_0659, TgTigrScan_3164, TgTwinScan_3642, mrna.TGME49_001840A, tigr:cds.TGME49_001840A	
TGME49_201850	-3.5	2.54	4.37	1895.t000468, 20.m03681, TGME49_001850, TgGlmHMM_0660, TgTigrScan_3165, mrna.TGME49_001850A, tigr:cds.TGME49_001850A	
TGME49_201860	1.2	7.79	7.5	1895.t000467, 20.m03682, TGME49_001860, TgGLEAN_3738, TgGlmHMM_0660, TgTigrScan_3166, TgTwinScan_3643, mrna.TGME49_001860A, tigr:cds.TGME49_001860A	
TGME49_201870	-1.3	3.88	4.3	1895.t000466, 20.m03683, TGME49_001870, TgGLEAN_3686, TgGlmHMM_0661, TgTigrScan_3167, TgTwinScan_3644, mrna.TGME49_001870A, tigr:cds.TGME49_001870A	
TGME49_201880	1	7.91	7.87	1895.t000465, 20.m03684, TGME49_001880, TgGLEAN_3685, TgGlmHMM_0662, TgTigrScan_3168, TgTwinScan_3645, mrna.TGME49_001880A, tigr:cds.TGME49_001880A	
TGME49_201890	-1.8	1.85	2.72	1895.t000464, 20.m03685, TGME49_001890, TgGLEAN_3684, TgGlmHMM_0662, TgTigrScan_3169, TgTwinScan_3646, mrna.TGME49_001890A, tigr:cds.TGME49_001890A	
TGME49_201895	-2.4	1.37	2.6	1895.t000463, TGME49_001895	
TGME49_201900	-1.5	3	3.6	1895.t000462, 20.m03990, TGME49_001900, TgGLEAN_3739, TgGlmHMM_0663, TgTigrScan_3171, TgTwinScan_3647, mrna.TGME49_001900A, tigr:cds.TGME49_001900A	
TGME49_202010	-1.3	4.64	5.07	1895.t000461, 20.m05883, TGME49_002010, TgGLEAN_3683, TgGlmHMM_0664, TgTigrScan_3173, TgTwinScan_3648, mrna.TGME49_002010A, tigr:cds.TGME49_002010A	
TGME49_202020	-1	0.03	0.05	1895.t000460, 20.m00351, TGME49_002020, TgGLEAN_3682, TgGlmHMM_0664, TgTigrScan_3174, TgTwinScan_3649, mrna.TGME49_002020A, tigr:cds.TGME49_002020A	
TGME49_202025	-1.1	0.05	0.15	1895.t000459, TGME49_002025	
TGME49_202030	-1.5	0.38	0.94	1895.t000458, 20.m03687, TGME49_002030, TgGLEAN_3741, TgGlmHMM_0665, TgTigrScan_3177, mrna.TGME49_002030A, tigr:cds.TGME49_002030A	
TGME49_202040	-1	2.34	2.37	1895.t000457, 20.m03689, TGME49_002040, TgGLEAN_3680, TgGlmHMM_0666, TgTigrScan_3178, TgTigrScan_3179, TgTwinScan_3652, mrna.TGME49_002040A, tigr:cds.TGME49_002040A	
TGME49_202050	-1.3	5.25	5.65	1895.t000456, 20.m03690, TGME49_002050, TgGLEAN_3742, TgGlmHMM_0667, TgTigrScan_3180, TgTwinScan_3653, mrna.TGME49_002050A, tigr:cds.TGME49_002050A	
TGME49_202060	-2.8	0.56	2.05	1895.t000455, 20.m03691, TGME49_002060, TgGLEAN_3743, TgGlmHMM_0668, TgTigrScan_3182, TgTigrScan_3183, TgTwinScan_3654, mrna.TGME49_002060A, tigr:cds.TGME49_002060A	
TGME49_202065	-1	0	0.03	1895.t000454, TGME49_002065	
TGME49_202070	-1.1	1.33	1.52	1895.t000453, 20.m03692, TGME49_002070, TgGLEAN_3744, TgGlmHMM_0668, TgTigrScan_3184, TgTwinScan_3654, mrna.TGME49_002070A, tigr:cds.TGME49_002070A	
TGME49_202080	-1.6	2.22	2.86	1895.t000452, 20.m05882, TGME49_002080, TgGLEAN_3678, TgGlmHMM_0669, TgTigrScan_3185, TgTwinScan_3655, mrna.TGME49_002080A, tigr:cds.TGME49_002080A	
TGME49_202090	-9.3	3.64	6.85	1895.t000451, 20.m03693, TGME49_002090, TgGLEAN_3746, TgGlmHMM_0670, TgTigrScan_3186, TgTwinScan_3656, mrna.TGME49_002090A, tigr:cds.TGME49_002090A	
TGME49_202100	-6.3	6.41	9.06	1895.t000450, 20.m03694, TGME49_002100, TgGLEAN_3747, TgGlmHMM_0671, TgTigrScan_3187, TgTwinScan_3657, mrna.TGME49_002100A, tigr:cds.TGME49_002100A	
TGME49_202110	-6.9	7.18	9.97	1895.t000449, 20.m03695, TGME49_002110, TgGLEAN_3748, TgGlmHMM_0671, TgTigrScan_3188, TgTwinScan_3658, mrna.TGME49_002110A, tigr:cds.TGME49_002110A	
TGME49_202120	-1.4	3.24	3.68	1895.t000448, 20.m03696, TGME49_002120, TgGLEAN_3750, TgGlmHMM_0672, TgTigrScan_3190, TgTwinScan_3659, mrna.TGME49_002120A, tigr:cds.TGME49_002120A	
TGME49_202140	-4.4	5.27	7.41	1895.t000447, 20.m03697, TGME49_002140, TgGLEAN_3752, TgGlmHMM_0672, TgTigrScan_3191, TgTwinScan_3662, mrna.TGME49_002140A, tigr:cds.TGME49_002140A	
TGME49_202160	-1.2	3.97	4.21	1895.t000446, 20.m07353, TGME49_002160, TgTigrScan_3192, mrna.TGME49_002160A, tigr:cds.TGME49_002160A	
TGME49_202170	-1.4	2.77	3.23	1895.t000445, 20.m05876, TGME49_002170, TgGLEAN_3753, TgGlmHMM_0674, TgTigrScan_3193, TgTwinScan_3664, mrna.TGME49_002170A, tigr:cds.TGME49_002170A	
TGME49_202180	-1.4	2.15	2.59	1895.t000444, 20.m03699, TGME49_002180, TgGLEAN_3676, TgGlmHMM_0675, TgTigrScan_3194, TgTwinScan_3665, TgTwinScan_3666, mrna.TGME49_002180A, tigr:cds.TGME49_002180A	
TGME49_202190	-1.7	2.37	3.15	1895.t000443, 20.m03700, TGME49_002190, TgGLEAN_3754, TgGlmHMM_0676, TgTigrScan_3195, TgTwinScan_3667, mrna.TGME49_002190A, tigr:cds.TGME49_002190A	
TGME49_202200	1.3	3.22	2.82	1895.t000442, 20.m00331, TGME49_002200, TgGLEAN_3755, TgGlmHMM_0678, TgTigrScan_3196, TgTwinScan_3669, mrna.TGME49_002200A, tigr:cds.TGME49_002200A	
TGME49_202205	-1.3	0.87	1.23	1895.t000592, TGME49_002205	
TGME49_202210	-1.5	1.69	2.25	1895.t000441, 20.m03702, TGME49_002210, TgGlmHMM_0678, mrna.TGME49_002210A, tigr:cds.TGME49_002210A	
TGME49_202220	-1.3	2.94	3.28	1895.t000440, 20.m03702, TGME49_002220, TgGLEAN_3756, TgGlmHMM_0678, TgTigrScan_3197, TgTwinScan_3672, mrna.TGME49_002220A, tigr:cds.TGME49_002220A	
TGME49_202230	-1.2	3.07	3.38	1895.t000439, 20.m03703, TGME49_002230, TgGLEAN_3675, TgGlmHMM_0679, TgTigrScan_3198, TgTwinScan_3673, mrna.TGME49_002230A, tigr:cds.TGME49_002230A	
TGME49_202240	-1.3	2.17	2.59	1895.t000438, 20.m03704, TGME49_002240, TgGLEAN_3757, TgGlmHMM_0680, TgTigrScan_3199, TgTwinScan_3674, mrna.TGME49_002240A, tigr:cds.TGME49_002240A	
TGME49_202250	-1.7	2.83	3.56	1895.t000437, 20.m07351, TGME49_002250, TgGLEAN_3674, TgGlmHMM_0681, TgTigrScan_3200, TgTwinScan_3676, mrna.TGME49_002250A, tigr:cds.TGME49_002250A	
TGME49_202255	-1.2	2.39	2.71	1895.t000436, TGME49_002255	
TGME49_202260	-1.6	2.21	2.88	1895.t000434, 20.m05890, TGME49_002260, TgGLEAN_3759, TgGlmHMM_0682, TgTigrScan_3202, TgTwinScan_3677, mrna.TGME49_002260A, tigr:cds.TGME49_002260A	
TGME49_202280	-1.8	2.26	3.11	1895.t000433, 20.m03706, TGME49_002280, TgGLEAN_3761, TgGlmHMM_0683, TgTigrScan_3204, TgTwinScan_3678, mrna.TGME49_002280A, tigr:cds.TGME49_002280A	
TGME49_202285	-1.2	0	0.26	1895.t000590, TGME49_002285	
TGME49_202290	-1.2	3.81	4.02	1895.t000432, 20.m03708, TGME49_002290, TgGLEAN_3762, TgTigrScan_3206, TgTwinScan_3679, mrna.TGME49_002290A, tigr:cds.TGME49_002290A	
TGME49_202300	1	5.22	5.18	1895.t000431, 20.m03709, TGME49_002300, TgGLEAN_3670, TgGlmHMM_0684, TgTigrScan_3207, TgTwinScan_3680, mrna.TGME49_002300A, tigr:cds.TGME49_002300A	
TGME49_202310	-1.2	3.76	4.05	1895.t000430, 20.m03710, TGME49_002310, TgGLEAN_3669, TgGlmHMM_0684, TgTigrScan_3208, TgTwinScan_3681, mrna.TGME49_002310A, tigr:cds.TGME49_002310A	
TGME49_202330	1	0	0	1895.t000429, 20.m07357, TGME49_002330, TgGLEAN_3763, TgGlmHMM_0685, mrna.TGME49_002330A, tigr:cds.TGME49_002330A	
TGME49_202340	1.3	0.56	0.22	1895.t000428, 20.m03711, TGME49_002340, TgGLEAN_3668, TgGlmHMM_0686, TgTigrScan_3209, TgTigrScan_3210, TgTwinScan_3682, mrna.TGME49_002340A, tigr:cds.TGME49_002340A	
TGME49_202350	-1.3	4.35	4.73	1895.t000427, 20.m05957, TGME49_002350, TgGLEAN_3667, TgGlmHMM_0686, TgTigrScan_3211, TgTwinScan_3683, mrna.TGME49_002350A, tigr:cds.TGME49_002350A	
TGME49_202360	-1.4	2.94	3.4	1895.t000426, 20.m03712, TGME49_002360, TgGLEAN_3666, TgGlmHMM_0686, TgTigrScan_3211, TgTwinScan_3684, mrna.TGME49_002360A, tigr:cds.TGME49_002360A	
TGME49_202370	-1.1	7.2	7.36	1895.t000425, 20.m00349, TGME49_002370, TgGLEAN_3665, TgGlmHMM_0687, TgTigrScan_3211, TgTwinScan_3685, mrna.TGME49_002370A, tigr:cds.TGME49_002370A	
TGME49_202375	-1.8	2.52	3.35	1895.t000424, TGME49_002375	
TGME49_202380	-1.1	6.33	6.46	1895.t000423, 20.m00348, TGME49_002380, TgGLEAN_3664, TgGlmHMM_0687, TgTigrScan_3213, TgTwinScan_3686, mrna.TGME49_002380A, tigr:cds.TGME49_002380A	
TGME49_202390	-1	5.23	5.28	1895.t000422, 20.m03715, TGME49_002390, TgGLEAN_3764, TgGlmHMM_0688, TgTigrScan_3214, TgTigrScan_3215, TgTwinScan_3687, mrna.TGME49_002390A, tigr:cds.TGME49_002390A	
TGME49_202400	-2.9	3.37	4.93	1895.t000421, 20.m03716, TGME49_002400, TgGLEAN_3663, TgGlmHMM_0689, TgTigrScan_3216, TgTwinScan_3688, TgTwinScan_3689, mrna.TGME49_002400A, tigr:cds.TGME49_002400A	
